SMM-ID,lat,long,name,city,municipality,country,rank,reference,eary_preclassic_2000bc_1000_bc,middle_preclassic_1000bc_400bc,late_preclassic_400bc_100ad,early_classic_250ad_600ad,late_classic_600ad_800ad,terminal_classic_800ad_900ad,early_postclassic_900ad_1200ad,late_postclassic_1200ad_1519ad,post_conquest_1520ad_1697ad,time_check_01,time_check_02,time_no_data_found
107,-89.95343484,20.56124682,Oxkintok,Opichen,Yucatan,Mexico,2,Ref. Kelly 1993,,X,X,X,X,X,X,,,X,X,
108,-88.99434017,17.09211453,Pacbitun,,Cayo,Belize,2,Ref. Kelly 1996,,X,X,X,X,X,,,,X,X,
109,-88.27255167,21.29870044,Panaba,Panaba,Yucatan,Mexico,2,Ref. Garza and Kurjack 1980,,,,,,,,,,X,X,X
110,-90.87312,15.20735,Pantzac (Kakbaja; Sajcabaja),Canilla,Quiche,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
111,-89.64321,14.43573,Papalhuapa,Agua Blanca,Jutiapa,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
112,-89.28575,15.35367,Pataxte,El Estor,Izabal,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
113,-90.90097,15.20216,Patzac (Xepatzac; Ziguan Tinamit),Canilla,Quiche,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
114,-91.72016,15.60968,Petatan or Axola,Santiago Chimaltenango,Huehuetenango,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
115,-91.26452,14.8868,Piedra del Coyote,Totonicapan,Totonicapan,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
116,-90.81219,15.12214,Pueblo Viejo Chichaj,Zacualpa,Quiche,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,X,X,,,,,X,X,
117,-91.73944,16.0172,Quen Santo,Nenton,Huehuetenango,Guatemala,2,Ref. 1991;IGM; IAH GT Map,,,,,,,,,,X,X,X
118,-89.04007,15.27023,Quirigua,Los Amates,Izabal,Guatemala,2,Ref. Witschey 2009,,,,X,X,X,,,,X,X,
